text,label
"这门课workload爆炸，每周都有deadline，作业量巨大无比，考试难度天花板，不建议同时上其他硬课",1
"噩梦般的课程，需要投入所有时间和精力，project极其复杂，挂科率超高，慎选！",1
"教授要求严苛，任务繁重到令人窒息，每周需要阅读上百页文献，是我上过最累的课",1
"学习压力巨大，课程内容深奥难懂，实验报告要求极高，几乎没有个人时间",1
"不建议心脏不好的人选这门课，workload绝对是全校顶级，需要极强的心理承受能力",1
"每周都要熬夜到凌晨，作业根本做不完，考试范围还特别广",1
"课程难度极大，需要很强的数学基础，否则完全跟不上",1
"老师讲课速度飞快，课后需要花大量时间自学才能理解",1
"实验项目极其复杂，需要团队协作但队友经常拖后腿",1
"考试题目超纲严重，平均分只有50多，挂科率30%以上",1
"每天都要学习到很晚，根本没有休息时间",1
"作业量多到令人绝望，每周都要交好几份报告",1
"课程要求极其严格，稍微不注意就会挂科",1
"需要掌握的知识点太多，完全消化不了",1
"实验设备经常出问题，调试就要花很多时间",1
"老师不给任何重点，整本书都是考试范围",1
"小组作业占比很大，但组员都不靠谱",1
"每周都有随堂测验，压力非常大",1
"课程进度太快，根本跟不上节奏",1
"需要购买很多昂贵的教材和软件",1
"课程负担非常重，每周都要熬夜，小组项目难度大，需要投入大量时间才能跟上",2
"作业量大且难，考试不容易，需要平时持续学习，不能临时抱佛脚，整体压力较大",2
"任务比较多，有定期测验和项目，需要认真对待，不算轻松但努力一下能跟上",2
"需要花费很多时间在课外阅读和预习上，否则听不懂课",2
"每周都有小测验，还有期中期末考试，压力比较大",2
"课程内容很深，需要反复看视频和教材才能掌握",2
"实验报告要求很严格，格式和内容都要完美",2
"老师会给很多额外的阅读材料，都需要认真完成",2
"小组作业占比很大，需要协调大家的时间很麻烦",2
"考试题目比较难，需要很全面的复习才能考好",2
"平时作业比较多，但还在可接受范围内",2
"需要花不少时间做课前预习",2
"课程有一定难度，需要认真听讲才能理解",2
"实验操作比较复杂，需要仔细准备",2
"老师对作业要求比较高，需要反复修改",2
"考试内容涉及面比较广，需要全面复习",2
"需要定期参加小组讨论和展示",2
"课程节奏比较快，需要跟上进度",2
"有一定的学习压力，但还能应付",2
"需要掌握一些前置知识才能学好",2
"workload适中偏上，有挑战性但不至于无法完成，需要保持一定的学习节奏",3
"任务量中等，有常规作业和一次大项目，考试难度一般，平时听听课就能应付",3
"不好不坏，workload算是一般水平，只要按时完成作业，通过考试没什么问题",3
"课程难度适中，有一定量的作业和阅读任务，但只要跟上课业进度，压力可控",3
"标准的大学课程，workload不多不少，属于平均水平，需要花些时间但不会太累",3
"任务量不算大，课程内容比较有趣，作业量适中，整体感觉比较均衡",3
"只要跟上课业进度，压力可控，不需要额外花太多时间",3
"老师讲课比较清晰，课后稍微复习一下就能掌握",3
"考试内容都在课件里，认真复习就能取得不错的成绩",3
"有一定难度，但只要用心学还是可以跟得上的",3
"课程安排比较合理，工作量适中",3
"学习压力一般，不需要特别拼命",3
"作业量正常，按时完成就可以",3
"考试难度适中，认真复习就能过",3
"课程内容实用，学起来不算吃力",3
"老师教学水平不错，容易理解",3
"有一定的实践环节，但不算太难",3
"需要一些努力，但不会太辛苦",3
"课程设计比较合理，难度适中",3
"学习体验还不错，没有太大压力",3
"课程相对轻松，作业量不大，考试内容都在课件里，稍微复习一下就能考得不错",4
"压力较小，老师很nice，任务要求明确，只要按要求完成，拿个好分数不难",4
"workload较轻，只有几次作业和一个简单项目，有很多自由支配的时间",4
"课程安排合理，任务不多，难度不高，算是比较惬意的一门课",4
"不需要花太多时间就能取得不错的成绩",4
"老师给分比较宽松，作业要求也不严格",4
"课程内容实用有趣，学起来没有太大压力",4
"考试都是选择题和简答题，复习起来比较轻松",4
"没有太多的课外作业，主要靠课堂听讲",4
"老师会提供详细的复习资料，考试很容易",4
"学习压力很小，很轻松",4
"作业很少，很容易完成",4
"考试很简单，基本都能过",4
"课程内容简单易懂",4
"老师要求很宽松",4
"不需要花太多时间学习",4
"课堂氛围轻松愉快",4
"考核方式很友好",4
"学习过程很享受",4
"很容易拿到好成绩",4
"著名的水课，老师不点名，没有作业，期末开卷考，随便学学就能过",5
"堪称福利课，无比轻松，每节课去看看视频就行，毫无压力，推荐混学分",5
"特别轻松，一学期就两次作业，考试全是选择题，老师给分超高",5
"没什么负担，课程内容简单，考前看看PPT就能过，几乎不需要课外时间",5
"超级放松的课程，workload几乎为零，对GPA很友好，是完美的选修课",5
"老师从不点名，作业可选做，考试开卷",5
"完美混学分的课，几乎不需要任何努力",5
"课程极其简单，甚至不需要去上课也能过",5
"给分超高，作业随便交交就能拿A",5
"完全没有压力的一门课，推荐给想轻松的同学",5
"完全不用学习，躺着都能过",5
"老师超级nice，从不为难学生",5
"考试开卷，可以带所有资料",5
"没有作业，只有一次开卷考试",5
"课程内容极其简单",5
"通过率100%，没人挂科",5
"学习零压力，超级轻松",5
"完美的水课，强烈推荐",5
"不需要任何基础就能学",5
"老师给分大方，人人高分",5
"每周都要交三份实验报告，还要准备小组展示，根本忙不过来",1
"考试范围覆盖整本书，重点太多根本复习不完",1
"老师讲课天马行空，完全不知道重点在哪里",1
"需要掌握复杂的软件操作，学习曲线很陡峭",1
"课程要求严格，迟到早退都会扣分",1
"作业批改极其严格，一点小错误就扣很多分",1
"需要阅读大量的英文文献，非常耗时",1
"实验设备老旧，经常出故障影响进度",1
"老师不给任何样例，完全靠自己摸索",1
"考试时间太短，题目根本做不完",1
"每周都要进行随堂测试，压力山大",1
"课程内容过于理论，难以理解",1
"需要购买昂贵的正版软件",1
"老师口音很重，听不懂在讲什么",1
"教室设备经常故障，影响学习效果",1
"课程安排不合理，实验和理论课冲突",1
"教材价格昂贵且难以购买",1
"网络教学平台经常崩溃",1
"老师回复邮件很慢，问题得不到及时解决",1
"课程考核方式复杂，难以把握重点",1
"平时作业量适中，但期末考试难度较大",2
"需要花时间预习和复习才能跟上进度",2
"课程有一定的挑战性，需要认真对待",2
"实验操作需要仔细准备，否则容易出错",2
"老师对作业格式要求严格",2
"需要定期参加课外辅导",2
"课程内容比较抽象，需要时间消化",2
"考试题目灵活，需要真正理解知识点",2
"小组合作需要投入时间协调",2
"需要掌握一些专业软件的使用",2
"课程节奏适中，但需要持续学习",2
"老师讲课内容比较深入",2
"需要做一些课外拓展阅读",2
"实践环节有一定难度",2
"考核方式多样，需要全面准备",2
"学习内容比较实用",2
"老师教学认真负责",2
"课程设计比较科学",2
"能够学到真才实学",2
"学习收获比较大",2
"课程难度适中，认真学习就能掌握",3
"作业量合理，不会占用太多时间",3
"考试重点明确，复习有方向",3
"老师讲课清晰易懂",3
"实验指导详细，容易操作",3
"学习压力适中，不会太累",3
"课程内容实用性强",3
"考核方式公平合理",3
"能够平衡学习和其他活动",3
"学习体验良好",3
"教学内容与时俱进",3
"老师善于启发思考",3
"课堂互动积极",3
"学习资源丰富",3
"教学安排合理",3
"能够激发学习兴趣",3
"理论与实践结合",3
"考核标准明确",3
"反馈及时有效",3
"学习氛围良好",3
"作业量很少，很轻松就能完成",4
"考试开卷，压力很小",4
"老师给分很 generous",4
"课程内容简单易懂",4
"不需要花太多时间学习",4
"课堂氛围轻松",4
"考核方式简单",4
"学习过程愉快",4
"很容易通过考试",4
"推荐给想轻松拿学分的学生",4
"老师不点名不考勤",4
"作业可以迟交",4
"考试可以带小抄",4
"几乎没有挂科风险",4
"学习零压力",4
"课程超级简单",4
"完美混学分",4
"躺着都能过",4
"不需要动脑筋",4
"适合养老的课程",4
"完全不用去上课，期末交篇论文就行",5
"老师超级好说话，什么要求都答应",5
"考试可以手机查答案",5
"作业可以抄袭，老师不管",5
"点名可以代答到",5
"期末给重点，背了就能过",5
"挂科率0%，人人都过",5
"学习毫无压力",5
"最适合偷懒的课程",5
"GPA booster，轻松拿A",5
"不需要任何努力",5
"完美水课，强烈推荐",5
"学习就像度假",5
"毫无挑战性",5
"轻松愉快的学习体验",5
"老师放水严重",5
"考核极其简单",5
"不需要思考",5
"纯粹的形式主义",5
"浪费时间但能拿学分",5